seed,method,text,label,prediction,prob_positive
42,E0,简体字毕竟写和认较为方便，不能一概否认。//：不该丢的都丢了~[衰] //：。,0,1,0.502798
42,E0,[飞机]捧场去??? //:?庄 是俺的第10000个粉丝，支持一下阳江程村生蚝！[鼓掌],1,0,0.340177
42,E0,今天又吃多了[抓狂]这劲爆的音乐配上如此的美味，实在无法抗拒啊！黑菌意大利米饭配烤奶酪片太香，南美烤牛尾配的那个黑豆泥太美，阿根廷牛腩卷里的蔬菜不要太好吃啊[馋嘴]期待甜品！对了，那瓶阿根廷红酒真心不错，现在已经飘飘然了！,0,1,0.618677
42,E0,你是说刘文彩吧[衰],0,1,0.777636
42,E0,你叫我来也没告诉我是录制现场！我都没打扮的貌美如花呀！还有个机位一直对着我！[抓狂][抓狂][抓狂][抓狂],0,1,0.628929
42,E0,我的奔驰在哪里??[抓狂],0,1,0.599281
42,E0,回复:有的！[哈哈] //:好地方啊。不带另一半去太可惜了。八人间有没有？我们一行八个人。,1,0,0.190153
42,E0,[衰]// :[伤心] // : 现在的警察战斗力不如当年我们宣传的国民党腐败警察 // :// :,0,1,0.42632
42,E0,//://:图让人心酸 。。。[泪]//:配图信息量太大了[生病],0,1,0.500861
42,E0,青春，梦想，远航[good][鼓掌],1,0,0.314043
42,E0,台上的狗日的在培养仇人[衰] //:蠢！//: 将愚蠢进行到底[衰]//:当地有关部门如此愚蠢？ //:非常过份！//: 政府在暴露自己的愚蠢！在暴露自己的错误！//:过分了 //:怎么能这样//: 怎么能这样,0,1,0.550713
42,E0,你要是妹子就给打折否则打折（蛇）[哈哈] //:可是我没有闺蜜啊，还给打折吗？[泪]//:谜一样的小兵，38妇女节当天风林火山将对光临的妹子及闺蜜提供全单9折优惠，你要不要再过来露一小脸儿？妹子会很多呦～,1,0,0.269609
42,E0,祝福！//: 祝10对老夫妻阖家幸福，度过一个温馨的重阳节[鼓掌],1,0,0.212319
42,E0,望京一代民间艺术家们的造诣精湛，而且版权保护意识强烈，为防止＂不法人员＂破坏，画前很有秩序地摆了一坨坨..还好我眼疾脚快[衰],0,1,0.427104
42,E0,湖南旅游频道地球上最像月球的地方，你去过吗？[晕]130910下午17点-18点【驴友圈】土耳其卡帕多西亚【签到处嘉宾预告】 带你上天入地玩透【土耳其】[哈哈]（图片来自嘉宾）想做嘉宾？私信 吧！在线收听：芒果网,1,0,0.150768
42,E0,股市？除了牛市的时候跟着赚点儿，其他时候一概不要参与[lt切克闹]//: 回复:怕与不怕在于内心有多强大[嘻嘻] //:-上市公司调研网 你们都是高人 别闲聊了 研究一下吧 //,1,0,0.282032
42,E0,神右[哈哈] //--Kitty:哈哈哈//: →_→//: 那日经过华妃宫中，采月被人叫了去，仔细着会早些回来，却不料遭如此毒手！[伤心],0,1,0.460538
42,E0,乐蜂网盛女节大胆秀出你的美！我是Candy，超萌萝莉邦派女，永远20岁的心态是萝莉必备武器！尽管我是最早的80后[亲亲]，又怎样？甜美可爱不代表我没有力量，天真烂漫是我内心的绽放。去盛开，去做一个萝莉盛女，遇见另一个未知的自己，再不折腾我们就老了！,1,0,0.034166
42,E0,我好想养一个干脆面君哦...哈哈哈...谁能告诉我哪儿有卖的？！？[抓狂][抓狂][抓狂][抓狂][抓狂][抓狂],0,1,0.605437
42,E0,月饼又＂显小＂了[泪],0,1,0.807247
42,E0,哦//: -Avaux //:双鱼座（感情甜蜜）[鼓掌],1,0,0.403738
42,E0,[鼓掌][鼓掌]欢迎微信咨询酒店信息,1,0,0.176736
42,E0,晚餐 大家都在着急的跟2014挥手，那也先吃好难忘的2013年最后一顿饭吧。[鼓掌] [花心] 和果子一起吃！肉！,1,0,0.218832
42,E0,我右边脸现在都僵了[泪],0,1,0.451047
42,E0,怀念[泪]//: //: //: 。,0,1,0.623156
42,E0,大家胃口都好//:鬼老、还吊我们胃口的说呢[悲伤]//:好，你也好,0,1,0.496066
42,E0,诶，突然想起了太原早早的麻辣烫，好神奇！[抓狂]不知道还有木有…[钱],0,1,0.540816
42,E0,你是外星人 什?都有效~~[嘻嘻]//?JPM_J: ?真的很有效！阿?！,1,0,0.36837
42,E0,哈尼尼，正式生日快乐！！越来越美丽，迷人！[蛋糕][礼物][爱你]晚安！,1,0,0.278621
42,E0,//: //:这个世界很温暖。//: 感动！为送衣人，为这老汉！[泪]//: 我咋看着就想哭呢？寒士之寒令人寒心，善人之善令人心暖。//: //: 真好。//: 写得好，难得不酸，实在，有心。//: //:真有才[手套],0,1,0.554095
42,E0,饿了~[抓狂],0,1,0.488874
42,E0,回复:您的鼓励也打动了小编柔弱的心，我们会继续努力[泪] //:72家房客用一颗平常心来对待每一个活动，以一份真诚来打动小编的内心。或许我不是最幸运的那个粉丝，但我一定是最用心的哦！在此祝福小编工作顺利，我会一直支持你们的活动的~！ 地址：,0,1,0.436424
42,E0,下了飞机又继续开工，这次又是大制作。筹备 平面电影拍摄。 [嘻嘻],1,0,0.347371
42,E0,收完再送给该送的人 //:咱俩这收来收去有用吗//:收到 //: [爱你],1,0,0.374164
42,E0,带小孩真的好辛苦，胳膊手腕都好酸。这两天他还学会要抱抱才睡觉[泪],0,1,0.619781
42,E0,“我一个学计算机的朋友，被老婆发现他大学时代写给其他姑娘的情诗，勒令三天之内写出十首新情诗献给老婆，要比舒婷写得好，诗里还不能有“0”或“1”。--冯唐《活着活着就老了》” [哈哈]今日阅读最让我开心的段子，晚安。,1,0,0.12282
42,E0,天语感觉给阿里云忽悠了啊[晕],0,1,0.584581
42,E0,[哈哈][哈哈][哈哈] //:[泪][泪],0,1,0.551055
42,E0,//:真搞笑就不太高清郁闷了[抓狂],0,1,0.490723
42,E0,回复:现在就能送啊，把快递信息私信我们[哈哈]我们对老朋友总是有求必应的[爱你] //:哈哈，等我下次订的时候送我。 //:[爱你][爱你]下次要再和我们同游哦[带着微博去旅行],1,0,0.372767
42,E0,恭喜-林小姐 成为杭州站幸运网友！三位将于明天亲临发布会现场，见证雪花《中国古典园林》五书在杭州的发布。主页君在西子湖畔等你们咯。另外，在此感谢其他小伙伴们对本次活动的大力支持！[太开心],1,0,0.414586
42,E0,顺带把销售也做了，岂不更牛！[哈哈],1,0,0.33299
42,E0,-自游海洋//:离开前搬去那的四天~打开窗帘便是大海，坐在阳台吃着泡面看日落，还有海滩旁的shout！太幸福了！还有还有blue bay的snorkeling~一晃半年多了[泪],0,1,0.548814
42,E0,[衰]大家都要注意哦！,0,1,0.548538
42,E0,请问这款多少银子？[威武][围观][爱你],1,0,0.356766
42,E0,自己关门把手挤了～流血了[泪]我好笨[生病],0,1,0.526002
42,E0,外星人告别地球演唱会 //:[哈哈][哈哈][哈哈][哈哈] //:听马云这么说，周一我都不好意思去上班[怒][怒][怒],1,0,0.360096
42,E0,天天向上 ：【嘉宾征集】4月22日，节目组征集魅力心理学教授 和“神秘大来宾”一起参与主题录制！[威武]男女不限，欢迎大家积极推荐！[爱你] 相信大家第一个想到的是 教授，不知还有哪些漏网之鱼呢？[思考]欢迎大家进入该话题参与推荐讨论哦！[心],1,0,0.154915
42,E0,哇，好消息哈~火狐的出现说明贺兰山的生态环境真的在好转~ //: 那意思是它寻找不到伴侣而忧伤啊。//: 火狐是国家二级保护动物时候，是鼠类等有害动物的天敌。好忧伤的回眸，这时节，正是赤狐发情、交配的时候喔~[哈哈],1,0,0.288613
42,E0,南澳的讲座安排比较紧凑，见了不少老朋友，又结识了不少新朋友！//: [威武] //:大佬们的占地面积都很大啊[哈哈][嘻嘻][抓狂],1,0,0.383867
42,E0,[挖鼻屎][衰][酷],0,1,0.585424
42,E0,噢买噶！开车的危险，途人更危险 //:[抓狂],0,1,0.445837
42,E0,//: [衰] //: 人家三胖才叫自信。//: 【不怕不识货，就怕货比货】世袭制[威武]！禅让制[衰]……再也用不着雇用马屁文人反宪政了[笑哈哈]！,0,1,0.564685
42,E0,[爱你]oh～Dear Penny～ 我在这里:,1,0,0.238151
42,E0,太美了[抓狂] //:我证明，原版是你[偷笑] //: 盗我图付钱了没？,0,1,0.473968
42,E0,[伤心] 变态//: [怒]//:丑陋的中国人 //:[蜡烛],0,1,0.499017
42,E0,全新的形式，不变的心意，何尝不是一种“再生”？[可爱] //:音乐！不需要语言！能够传递信念！才能感动众生！我们一定不是第一个！但却希望你能赶上我们的节奏[给力]内地原创音乐加油！,1,0,0.0971
42,E0,[蜡烛][蜡烛][蜡烛] //:[泪][泪][泪][蜡烛][蜡烛][蜡烛] //:[蜡烛][蜡烛][蜡烛]//: 小皓博，请你安息[蜡烛][蜡烛][蜡烛],0,1,0.856119
42,E0,[蜡烛][蜡烛]//: [蜡烛][蜡烛][蜡烛][蜡烛][绿丝带] //:[蜡烛] //@?太白: [蜡烛] //: [蜡烛]走好！ //:[泪]战友走好！！！敬礼！！！[蜡烛][蜡烛][蜡烛],0,1,0.872564
42,E0,明天不接需求，一定要好好找个让人会喜欢喝水的杯子，不能再继续这样整天喝饮料了。[怒],0,1,0.519399
42,E0,啥都不说了！眼泪刷刷的。。。[泪]感谢 的耐心等待和理解！[握手]这本书不错，希望你喜欢；也欢迎继续支持须叔的活动～,0,1,0.448047
42,E0,//: [衰]//:[衰],0,1,0.550751
42,E0,中药草菅人命，SFDA为虎作伥。[怒],0,1,0.439259
42,E0,上海预祝北京同事活动组织顺利、圆满，期待分享，[鼓掌] //-jennyma: 鼎力支持！一定会圆满成功的！,1,0,0.192048
42,E0,亲，感谢您对都太餐厅的喜爱，三文鱼绝对管够哦！还有很多美食亲一定要都尝尝哦！[嘻嘻],1,0,0.232954
42,E0,亲爱的，你来北京，不但包饭还包住包完。。//: 最近都可以打我电话我陪你玩嘛直接过来见面也成说了包饭别犹豫了a快来快来hhhh[哈哈],1,0,0.317206
42,E0,少年富则国富。从我可以看出，可以知道我们国家有多穷。[泪],0,1,0.495466
42,E0,我需要正能量[抓狂][抓狂][抓狂],0,1,0.508856
42,E0,[抓狂]为毛我吃抗过敏药都会过敏啊魂淡！,0,1,0.642283
42,E0,又被当鸽子放了，老妈说没准备我的晚餐[泪] 臭小喵?喵,0,1,0.661723
42,E0,看完觉得很难受[衰]//:特别推荐！,0,1,0.63646
42,E0,吃虾容易，虾大少见，肉满稀少，黄多难遇，三者皆具，唯，且吃且珍惜 [哈哈][威武][马到成功],1,0,0.325811
42,E0,4号线没事玩一个20分钟来一趟，起个大早，赶个晚急。法克。[怒][怒][怒][怒][怒][怒][怒][怒][怒][怒],0,1,0.429369
42,E0,信//:[衰] // :我也信,0,1,0.448624
42,E0,向伟大的妈妈致敬！比起宝宝羽泉排在遥远的第二位[嘻嘻]等孩子大点儿一起看哈Yu%[威武] //:欢迎来到郑州。上次来时我到现场了，但这次我刚生了宝宝去不了了[泪]祝一切顺利！,0,1,0.506705
42,E0,回复:诱人啊！我下午茶时间正好到了[馋嘴] //: [嘻嘻],1,0,0.407532
42,E0,早上8点多起床写稿子，这才发现一天中我脑袋最清醒的时间是早8点晚2点[衰],0,1,0.437904
42,E0,今天继续哦[鼓掌],1,0,0.305529
42,E0,"回覆:但??唔可?既? //:??BEBE黎架~[抱抱] //??房：??好老鼠啊, 其??咪???的?//：sweet sweet~[心] 但做乜?人落?杯度? 衰!!![抓狂] //??房:??好老鼠啊, 其??咪???的?",0,1,0.51722
42,E0,各位注意：这可是大董家的秘密武器！您想想拿勃艮第当饮料喝的，您伤得起吗？[嘻嘻],1,0,0.152698
42,E1,有空带上家人朋友再来宁夏游历哦 别忘了沙湖[哈哈],1,0,0.533822
42,E1,我的奔驰在哪里??[抓狂],0,1,0.846241
42,E1,青春，梦想，远航[good][鼓掌],1,0,0.42663
42,E1,你要是妹子就给打折否则打折（蛇）[哈哈] //:可是我没有闺蜜啊，还给打折吗？[泪]//:谜一样的小兵，38妇女节当天风林火山将对光临的妹子及闺蜜提供全单9折优惠，你要不要再过来露一小脸儿？妹子会很多呦～,1,0,0.183979
42,E1,湖南旅游频道地球上最像月球的地方，你去过吗？[晕]130910下午17点-18点【驴友圈】土耳其卡帕多西亚【签到处嘉宾预告】 带你上天入地玩透【土耳其】[哈哈]（图片来自嘉宾）想做嘉宾？私信 吧！在线收听：芒果网,1,0,0.466441
42,E1,兄弟酒店发来贺电，嘉里开启圣诞纪[鼓掌],1,0,0.514945
42,E1,股市？除了牛市的时候跟着赚点儿，其他时候一概不要参与[lt切克闹]//: 回复:怕与不怕在于内心有多强大[嘻嘻] //:-上市公司调研网 你们都是高人 别闲聊了 研究一下吧 //,1,0,0.190573
42,E1,刚刚从英国归来的花子，此次以购物作伦敦行的串联（女人啊…），伦敦奥运比赛正酣，抵达伦敦的您除了赛场激情一番，场下去哪里血拼呢？听今天的节目就没错啦![哈哈],1,0,0.436547
42,E1,干了，干//: 啥都不耽误，有工作日，有假期。哈哈哈。 //:那就干了，面子不重要，兜里有是硬道理[哈哈] //：谁说的，尼姑庵赚的一点都不少。 //：女人能干吗？尼姑估计没和尚赚得多啊 //：回复:总感觉抹不开这个面子似的，要不等头发退休了啊，哈哈。,1,0,0.412788
42,E1,乐蜂网盛女节大胆秀出你的美！我是Candy，超萌萝莉邦派女，永远20岁的心态是萝莉必备武器！尽管我是最早的80后[亲亲]，又怎样？甜美可爱不代表我没有力量，天真烂漫是我内心的绽放。去盛开，去做一个萝莉盛女，遇见另一个未知的自己，再不折腾我们就老了！,1,0,0.083095
42,E1,我好想养一个干脆面君哦...哈哈哈...谁能告诉我哪儿有卖的？！？[抓狂][抓狂][抓狂][抓狂][抓狂][抓狂],0,1,0.575427
42,E1,[哈哈]嘘~用你的表现说话[偷笑] //: 几年前看过，仍然觉得有趣。come on England! //-R: For three lions//: 太搞了，给最近看欧洲杯的童鞋欢乐一下,1,0,0.45586
42,E1,月饼又＂显小＂了[泪],0,1,0.687572
42,E1,[鼓掌][鼓掌]欢迎微信咨询酒店信息,1,0,0.370646
42,E1,尕2??踏伦敦大街，有点犀利哥[嘻嘻],1,0,0.386171
42,E1,大家胃口都好//:鬼老、还吊我们胃口的说呢[悲伤]//:好，你也好,0,1,0.745386
42,E1,诶，突然想起了太原早早的麻辣烫，好神奇！[抓狂]不知道还有木有…[钱],0,1,0.726548
42,E1,哈尼尼，正式生日快乐！！越来越美丽，迷人！[蛋糕][礼物][爱你]晚安！,1,0,0.305785
42,E1,//: //:这个世界很温暖。//: 感动！为送衣人，为这老汉！[泪]//: 我咋看着就想哭呢？寒士之寒令人寒心，善人之善令人心暖。//: //: 真好。//: 写得好，难得不酸，实在，有心。//: //:真有才[手套],0,1,0.551298
42,E1,下了飞机又继续开工，这次又是大制作。筹备 平面电影拍摄。 [嘻嘻],1,0,0.410208
42,E1,回复:今天也要黑八哥？ //:这么美~早知道八哥应该点评一下的！留八手~ //@?巍EVA: [嘻嘻][嘻嘻],1,0,0.283945
42,E1,收完再送给该送的人 //:咱俩这收来收去有用吗//:收到 //: [爱你],1,0,0.451405
42,E1,带小孩真的好辛苦，胳膊手腕都好酸。这两天他还学会要抱抱才睡觉[泪],0,1,0.787238
42,E1,“我一个学计算机的朋友，被老婆发现他大学时代写给其他姑娘的情诗，勒令三天之内写出十首新情诗献给老婆，要比舒婷写得好，诗里还不能有“0”或“1”。--冯唐《活着活着就老了》” [哈哈]今日阅读最让我开心的段子，晚安。,1,0,0.365143
42,E1,旅人小结[呵呵] //:回复:??...你要?自去?橙子[嘻嘻]我?的很多??，越?越?自交通。鼓浪?最?魂之?是?有?甚至自行?，完全可以安?下?用腿走路。箜曲酒店能留下你的耳朵， 能留住你的胃， 姑娘能留下你的心...,1,0,0.493454
42,E1,[哈哈][哈哈][哈哈] //:[泪][泪],0,1,0.713234
42,E1,六一儿童节的第一个礼物，手机流量又回来了[偷笑]..节日快乐！周末快乐！[哈哈],1,0,0.526136
42,E1,顺带把销售也做了，岂不更牛！[哈哈],1,0,0.17764
42,E1,睡前一根可爱多！让我的小肚腩变得多可爱！肉啊~长吧~就这么放松自己吧！[哈哈][哈哈],1,0,0.378916
42,E1,回复 :[哈哈][哈哈]中华旅游名博贵州行 //:我是不知道[偷笑],1,0,0.333775
42,E1,你回去了吗~[可怜][爱你],1,0,0.532285
42,E1,[衰]大家都要注意哦！,0,1,0.551931
42,E1,请问这款多少银子？[威武][围观][爱你],1,0,0.304723
42,E1,啦啦啦啦。撒花祝贺@-柴叔- [鼓掌][江南style][爱你]//@-柴叔-: 自己撒花庆祝一下我和 在2012年完成的动画短片《Girl Meets Boys》进入2012华人原创动画短片TOP10~~,1,0,0.386801
42,E1,自己关门把手挤了～流血了[泪]我好笨[生病],0,1,0.754284
42,E1,[哈哈]太欢乐了！！,1,0,0.382248
42,E1,天天向上 ：【嘉宾征集】4月22日，节目组征集魅力心理学教授 和“神秘大来宾”一起参与主题录制！[威武]男女不限，欢迎大家积极推荐！[爱你] 相信大家第一个想到的是 教授，不知还有哪些漏网之鱼呢？[思考]欢迎大家进入该话题参与推荐讨论哦！[心],1,0,0.172701
42,E1,哇，好消息哈~火狐的出现说明贺兰山的生态环境真的在好转~ //: 那意思是它寻找不到伴侣而忧伤啊。//: 火狐是国家二级保护动物时候，是鼠类等有害动物的天敌。好忧伤的回眸，这时节，正是赤狐发情、交配的时候喔~[哈哈],1,0,0.45297
