text,label,split,domain
这部电影节奏紧凑情绪真挚我很喜欢,1,train,movie_review
演员表演自然故事温暖看完很感动,1,train,movie_review
剧情虽然简单但笑点密集适合放松,1,train,movie_review
导演把人物关系拍得细腻音乐也很加分,1,train,movie_review
画面漂亮台词克制结尾很有余味,1,train,movie_review
整部片完成度高没有明显拖沓,1,train,movie_review
主角成长线清楚情感铺垫可信,1,train,movie_review
动作场面干净利落观影体验很好,1,train,movie_review
配乐和摄影都在线值得推荐,1,train,movie_review
故事有新意反转也不生硬,1,train,movie_review
人物塑造饱满笑中带泪,1,train,movie_review
节奏稳定没有浪费时间,1,train,movie_review
这本书观点清晰案例有启发,1,train,book_review
作者叙述流畅读起来很舒服,1,train,book_review
内容扎实结构完整收获很大,1,train,book_review
角色立体世界观也有吸引力,1,train,book_review
翻译顺畅注释也很贴心,1,train,book_review
这部电影剧情混乱人物动机牵强,0,train,movie_review
节奏拖沓看得非常疲惫,0,train,movie_review
台词尴尬表演用力过猛,0,train,movie_review
故事老套反转完全没有惊喜,0,train,movie_review
剪辑凌乱很多情节交代不清,0,train,movie_review
笑点很冷煽情也很刻意,0,train,movie_review
主角行为前后矛盾让人出戏,0,train,movie_review
画面粗糙配乐吵闹体验很差,0,train,movie_review
宣传很夸张实际内容空洞,0,train,movie_review
导演想表达太多结果什么都没讲清楚,0,train,movie_review
这本书逻辑混乱重复内容太多,0,train,book_review
作者论证薄弱案例也不可信,0,train,book_review
翻译生硬读起来很费劲,0,train,book_review
人物扁平情节推进全靠巧合,0,train,book_review
结尾仓促前面铺垫都浪费了,0,train,book_review
影片后半段爆发力很强值得二刷,1,test,movie_review
情感表达克制但非常动人,1,test,movie_review
喜剧桥段自然观众反应很好,1,test,movie_review
故事完整配角也有亮点,1,test,movie_review
这本书把复杂问题讲得很清楚,1,test,book_review
镜头语言成熟氛围营造出色,1,test,movie_review
剧情漏洞太多完全说服不了我,0,test,movie_review
人物对白像背稿缺乏真实感,0,test,movie_review
节奏忽快忽慢观感很割裂,0,test,movie_review
整本书堆砌概念没有实际内容,0,test,book_review
角色关系写得很敷衍,0,test,movie_review
结局强行反转让人失望,0,test,movie_review
