text,label,split,domain
十一届音乐盛典 太帅了，就是实力派！[围观][围观][晕][爱你]最受欢迎内地女歌手[心][心],0,unlabeled,weibo_social
@---iris--- 没听到[晕],0,test,weibo_social
想吃麻辣香锅，想吃酸辣粉，可是都不能吃[泪][泪],0,test,weibo_social
VPN太不好用了，邮件各种发不出去收不下来[怒],0,unlabeled,weibo_social
试了两，没正确的，回头看回复，有人都试过了[怒] //:你还真去试了啊？呵呵，想想也知道天国不会有这么好的事情的嘛，真难为你输了这么多号[哈哈] //:经验证，没正确的。这是移动电信在做广告！ //:好东西[嘻嘻],0,val,weibo_social
//: 祝贺！请朋友们关注。//: 祝贺！[鼓掌]//: 预告一下，下个月我们将在游府西街开第二家门店哦~[江南style] //:爱得什么时候开分号啊 //:这位是我们 的非常给力的志愿者哦~爱德爱你们，非常感谢你们！ [爱你],1,unlabeled,weibo_social
真羡慕手指细长的人[哼][泪] 我在:,0,unlabeled,weibo_social
红军是内战的产物，意识形态教育进中小学[泪] //:,0,unlabeled,weibo_social
回复:早晚长袖+风衣/暖和外套；中午可穿比基尼、长裙[可爱] //:一月中旬去海南穿短袖还是长袖啊,1,unlabeled,weibo_social
飞哥太给力啦//:我是见到人就告诉他，就差上班路上一路贴小广告了[哈哈] // :一般人我不告诉他.- // :这个秘密一般不能告诉别人。,1,unlabeled,weibo_social
玩笑 玩笑 不要过于担心 哈哈//: [晕][晕][晕]意思就好了，兄弟们千万别整人！都是自己人捏！大老远过来！哈哈//: 三碗[哈哈]//: 三杯如何?阿聪肝颤了[嘻嘻] //:先来个下马酒 接风酒 哈哈//: 也算给你接个风[嘻嘻][嘻嘻] //,0,test,weibo_social
随手拍澳大利亚秋天的海滩还是满眼?[馋嘴]noosa美食节继续连吃带喝、小孩子从小就学买东西，学厨艺的都是小男孩看样子也特么男怕女[晕]这样的鱼你认识吗？[偷笑]开车去山顶看夕阳[酷][酷听小型音乐会，哥的周末就这样啦[偷笑]你们去哪玩了？,0,unlabeled,weibo_social
突然好happy[哈哈],1,unlabeled,weibo_social
[哈哈]//: 你他妈又不是奥运会。谁举办你啊。,1,unlabeled,weibo_social
让你老实交代今晚行程，但是你没有！！[泪],0,test,weibo_social
欢迎常来香宫坐坐，也预祝您新年快乐。[可爱],1,unlabeled,weibo_social
猛折腾了10来天，卓有成效啊!挑个最成效的面得瑟一下哈![偷笑]要知道生活在肿么吃也吃不胖的太、老、少爷之间，偶这种喝凉水都肥的人减点肉肉是多么多么不容易的事啊![抓狂]8过!偶今天下午就要回家了，偶的妈呀，成堆的小龙虾、小笼包、鸭血粉丝汤等着偶呢!偶好不容易甩掉的肉肉眼见着又要回来啦![泪],0,train,weibo_social
