text,label,split,domain
救援人员连夜处理险情真的辛苦了,1,train,social_event
社区通知很及时老人也有人帮忙,1,train,social_event
这次公开说明比之前清楚很多,1,train,social_event
志愿者把物资送到楼下很暖心,1,train,social_event
平台终于修复漏洞用户不用再担心,1,train,social_event
现场秩序恢复得比预期快,1,train,social_event
工作人员态度耐心解释也到位,1,train,social_event
大家互相提醒避开拥堵路段很有效,1,train,social_event
处理速度太慢群众等了几个小时,0,train,social_event
又是临时通知完全不给人准备时间,0,train,social_event
这个回应避重就轻根本没有解决问题,0,train,social_event
现场排队混乱没人维持秩序,0,train,social_event
说好的补偿迟迟没有到账,0,train,social_event
信息发布前后矛盾让人很不安,0,train,social_event
热线一直占线根本打不进去,0,train,social_event
这次管理太粗糙影响了很多人,0,train,social_event
广告号趁热点刷屏真的烦,0,train,social_event
有人造谣带节奏造成二次伤害,0,train,social_event
明明可以提前预警却拖到最后一刻,0,train,social_event
客服只会复制粘贴没有实际帮助,0,train,social_event
处罚结果公开透明让人安心,1,val,social_event
这次协调还算顺畅问题当天解决,1,val,social_event
感谢邻居帮忙照看孩子,1,val,social_event
公告写得很含糊大家都不知道怎么办,0,val,social_event
现场工作人员互相推诿,0,val,social_event
排查结果迟迟不公布,0,val,social_event
网络谣言满天飞官方反应太慢,0,val,social_event
补贴申请流程复杂老人根本不会弄,0,val,social_event
应急车道被占用太危险了,0,val,social_event
志愿服务很有秩序效率也高,1,test,social_event
官方直播解释了关键疑问,1,test,social_event
居民群里互相帮忙信息很有用,1,test,social_event
整改名单公开后终于有进展,1,test,social_event
又让基层反复填表完全是形式主义,0,test,social_event
明明承诺今天解决结果又延期,0,test,social_event
现场有人插队没人管体验很差,0,test,social_event
通知半夜才发第二天根本来不及,0,test,social_event
评论区全是水军正常意见被淹没,0,test,social_event
处理方案只照顾少数人不公平,0,test,social_event
投诉三次都没有回音,0,test,social_event
设备故障影响出行却没人说明,0,test,social_event
