text,label,split,domain
服务特别好！！,1,train,waimai_review
味道还可以，速度一般。,1,train,waimai_review
"我只能说这么冷的天,送的很快，店里人直接送的,太温暖了,很好吃,老板人不错",1,train,waimai_review
饼感觉是豆子做的，有股豆香味。很贴心有手套，就是肘子的肥肉块稍微有点大，瘦肉和肥肉分开了吃起来稍微有点腻。建议下次把肘子切成片吧,1,train,waimai_review
一共就五六块牛筋，其他都是菜，菜量也不多，这好意思好称30的套餐。。送餐员不认路，隔100米就要让我自己下楼去拿，这也叫外卖？,0,test,waimai_review
还是可以，希望^_^能按时送到就更好了,0,train,waimai_review
送来的时间还是能接受的，菜品也都保存的很好,1,train,waimai_review
"还不错,就是想吃两个蛋的煎饼不知道怎么算价格",0,test,waimai_review
没想象的好，粥里没硬货，饼味道还行，量一般,0,train,waimai_review
挺好吃的，下雨天还送到楼下，辛苦啦，就是有点咸了,1,val,waimai_review
"方便快捷,味道一般,能吃饱就行啊",0,train,waimai_review
卷饼应该比拌饭好吃，拌饭里的菜放的酱太多,1,train,waimai_review
看之前的评价都说特别慢，想尝试一下10点15就下单了，结果11点就送到了，惊喜啊～卷饼味道不错，很多肉，好评～同事都说下次也要订一个试试。希望一直这么给力,1,train,waimai_review
"太难吃了,是得罪卖盐的了么,买不着盐么,一点咸淡没有,醋任何调料没有,你不敢放,能不能拿外卖袋装点调料啊",0,val,waimai_review
"差差差,东西少的可怜不说,这哪是石锅拌饭啊,简直就是米饭拌饭,米饭也不好吃,失败",0,train,waimai_review
还行…味道不咋地,0,train,waimai_review
没有按客户要求提醒星巴克把咖啡去冰,0,train,waimai_review
皮蛋粥不错,1,train,waimai_review
肘子卷饼很好吃，推荐,1,train,waimai_review
太黑了，涨价了，改地方了,0,train,waimai_review
米饭好吃，不会很硬，菜的量还可以，味道也很好。,1,train,waimai_review
差评，再也不订你们家的了，店员态度也不好，菜也一般。,0,train,waimai_review
太慢了，不过挺好吃，还有就是我拿错别人的了，亏了我5毛钱,0,train,waimai_review
豆腐脑很淡，不太喜欢，猪蹄不错！,1,test,waimai_review
送单速度很快，味道一般，不像秘制。卖相很差，其实就是红烧肉加红薯。点错餐了。,0,train,waimai_review
非常好吃的，就是今天慢了点儿，,1,train,waimai_review
"每次的量都小的可怜,不知道是不是因为用了减免的原因",0,train,waimai_review
收到了~~~但是要的麻辣或者微辣的送来全是不辣的。。。。下次还是自己去买好一些。,0,train,waimai_review
额，还行吧，下雨天送餐员不容易,1,test,waimai_review
烤肠没给我送！,0,val,waimai_review
味道好，速度快，不错。,1,test,waimai_review
点的蔬菜肘子卷，里面除了肉就只有几片圆白菜！图片上的豆芽呢？！黄瓜呢？！绿蔬呢？！洋葱呢？！辣白菜呢？！差差评！！！再也不会点第二次。,0,train,waimai_review
送单快，就是路不熟。应该多跑跑,1,train,waimai_review
真心太咸了，太咸了，太咸了，唉,0,train,waimai_review
但很好吃，但量很小。送餐嘛一小时以上，还没带筷子,0,test,waimai_review
非常不错，很好吃,1,train,waimai_review
吃到最后出现一块面筋状物质，吃了一口一股浓烈的杏仁苦味(某种化学制剂的味道)，直接吐了出来。,0,train,waimai_review
今天的土豆是烂的，而且没有一滴油！！！,1,train,waimai_review
菜难吃，送餐员态度极差，送不好餐回家种田去，别在这丢人,0,test,waimai_review
好快，谢谢百度骑士,1,train,waimai_review
还可以，家常味道。下饭,1,val,waimai_review
只能说是被气饱的吧，昨天说会尽快，今天给送了2个多小时，呵,0,train,waimai_review
送餐员态度很好，唯一不足是送餐时间较长,0,test,waimai_review
菜量少辅料多，米饭量少的更是惊人，,0,train,waimai_review
"排骨鸡里没有青笋么,下次放点吧",1,train,waimai_review
等待170分钟,0,train,waimai_review
已经养成习惯在他们家订饭,1,val,waimai_review
送餐快，味道好，，,1,train,waimai_review
每次送餐都要等一个小时…而且感觉店商根本不看备注,0,train,waimai_review
配送超级快，配送员态度超级好，下次还来^_^,1,train,waimai_review
大冷天的，快递小哥跟热情，准时，辛苦辛苦，很感谢,1,test,waimai_review
饭菜很好吃,1,train,waimai_review
下单2个多小时没看见咖啡，最后告知咖啡送到楼下全撒了！上楼退钱给你，百度外卖你是怎么了？！,0,train,waimai_review
一般。名不副实。不会再订了。,0,train,waimai_review
送的太慢了。。再晚来一会我都准备退单了。。。慢的无与伦比啊,0,val,waimai_review
"送了80多分钟才到！味道,鸡肉太老了！粥的味道不错",0,train,waimai_review
不是自己吃的。。不过应该很好吃吧。。不然朋友也不会经常订这个啦~~,1,train,waimai_review
送的可乐没给,0,val,waimai_review
味道不错～～～从订餐到吃～～～服务也得周到超赞！！,1,test,waimai_review
菜品好，速度快，真是太好了！,1,val,waimai_review
难吃，做得慢，一点半下单还等了一个小时。根本不是在一点五十八送达，这么糊弄有意思吗,0,train,waimai_review
很快，服务很好，非常方便，好吃,1,train,waimai_review
总体不错，不过备注有让加辣，结果没有加…,1,val,waimai_review
味道都很好，就是终于饭点送餐慢,1,train,waimai_review
"时间长,味道一般",0,train,waimai_review
还不错，也很快～,1,train,waimai_review
太难吃了，跟以前吃的明显两个样，送餐也很慢,0,test,waimai_review
订了份蕨根粉和鸡蛋炒饼，蕨根粉特硬，中间还有硬结，就把上面黄瓜吃了，炒饼特多油还没味，后来没办法，吃了几口送的萝卜咸菜硬咽下去几口炒饼！,0,train,waimai_review
粉很好吃，就是配送员找不到位置还一直埋怨，送来时已经坨了！,0,train,waimai_review
好吃好吃好吃，重要的事说三遍,1,test,waimai_review
料很足，但是酱肉太咸了，饭点儿叫外卖等了一个多小时,0,val,waimai_review
太难吃，是酸的，不干净，还晚送到！,0,train,waimai_review
这次的鸡柳蔬菜煎饼真心不好吃～我记得第一次吃他家的鸡柳也是别人推荐的～很好吃～这次的鸡柳就等于是面疙瘩～,0,train,waimai_review
确定这就是炒乌冬面么？疯了,0,train,waimai_review
真没劲一次比一次少、餐厅怎么整的、难道是我给的钱少吗？,0,train,waimai_review
服务好，速度快，专业,1,val,waimai_review
"粥撒了一袋子,装的盒子也软,盖子被插进粥里,让人怎么吃",0,train,waimai_review
味道一般吧，但饼皮不像一些网友说的那么厚。有嚼劲,0,train,waimai_review
订单量大送的慢可以理解，可是怎么可以忘了给我放荤菜，而且留言里说了不要鱼豆腐和豆芽，还是放了一大把，太倒胃口了,0,test,waimai_review
分量挺大，女生吃不了，稍微有点辣。,1,train,waimai_review
今天少给了烤肠..来个差评吧,0,train,waimai_review
